smiles,logp
Cc1cccnc1C,1.6984
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,5.4203
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,5.7372
c1c(Br)ccc2ccccc12,3.6023
COc2cnc1ncncc1n2,0.4284
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,3.1887
CC(C)=CCCC(O)(C)C=C,2.6698
OC1CCCCC1,1.3114
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,3.9591
Cc1ccc(cc1)c2ccccc2,3.662
NC(=S)Nc1ccccc1,1.3421
CC(=O)C(C)(C)C,1.6215
O=C1CCCCC1,1.5196
ClC(Cl)(Cl)C#N,1.8802
CCCCCCCCC(=O)C,3.326
CCOC(=O)c1ccc(N)cc1,1.4455
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,4.2335
CCN2c1ncccc1N(C)C(=O)c3cccnc23,2.2246
Cc1ccccc1Br,2.7575
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,4.5753
c1ccc2ccccc2c1,2.8398
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,1.7696
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,3.8782
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,4.5117
CN(C)C(=O)Nc1ccc(Cl)cc1,2.4335
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,1.7621
Brc1cc(Br)c(Br)cc1Br,4.7366
CCSC(=O)N(CC)C1CCCCC1,3.5141
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,6.4902
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,2.7993
CCS,0.9361
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,2.2411
Cc1ccccc1N(=O)=O,1.9032
CCc1ccccc1C,2.5574
O=C1NC(=O)NC(=O)C1(CC)CC,0.1588
ClC(Cl)C(Cl)Cl,2.5938
Cc1ccc2c(ccc3ccccc32)c1,4.3014
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,4.0144
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,3.7375
COc1ccc(cc1)N(=O)=O,1.6034
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,8.5808
CCCCCCCCCCCCCCCCCCCCCCCCCC,10.3886
CC(Cl)Cl,1.81
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,4.2528
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,3.8896
ClC(Cl)(Cl)Cl,2.5529
OC1CCCCCCC1,2.0916
CCOc1ccc(NC(N)=O)cc1,1.5759
c1cnc2c(c1)ccc3ncccc23,2.783
COc1ccc(C=CC)cc1,2.7283
O=c1cc[nH]c(=O)[nH]1,-0.9368
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,6.6206
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,5.6404
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,0.7004
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.9035
CCC(C)(C)CO,1.4149
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1.7196
C1CCCCCC1,2.7307
CC(C)c1ccccc1C,3.1184
CC(C)CC(C)C,2.6885
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,2.0576
c3ccc2nc1ccccc1cc2c3,3.388
OCC1OC(O)C(O)C(O)C1O,-3.2214
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,2.0834
O=N(=O)c1ccc(cc1)N(=O)=O,1.503
CCCCCCCCCC(=O)OCC,3.6902
CCCOCC,1.4329
Cc1ccc2ccccc2c1,3.1482
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,4.7852
ClCc1ccccc1,2.4254
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,3.1276
CCCCCC(=O)OC,1.7397
CC(=O)Nc1ccc(F)cc1,1.7841
C1CCC=CC1,2.1166
c1cncnc1,0.4766
CCC(=O)OC,0.5694
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,4.2572
O=N(=O)c1ccccc1,1.5948
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,2.7141
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,4.1574
CCCC(=O)OC,0.9595
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,0.8334
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-0.4629
COc1nc(NC(C)C)nc(NC(C)C)n1,1.5208
Cc1ccc(N)cc1,1.5772
c1ccccc1(OC(=O)NC),1.4048
c3ccc2c(O)c1ccccc1cc2c3,3.6986
Cc1cccc(C)c1C,2.6119
CCCCCCCC(C)O,2.7277
CCCC(=O)CC,1.7656
Clc1ccc(cc1Cl)c2ccccc2,4.6604
Oc1cccc2ncccc12,1.9404
CCOc2ccc1nc(sc1c2)S(N)(=O)=O,1.3424
ClCBr,1.5776
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,4.2667
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,2.7419
OC1CCCCCC1,1.7015
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1.3499
Oc1ccc(cc1)N(=O)=O,1.3004
C1CCOC1,0.7968
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,5.9672
Cc1c(cccc1N(=O)=O)N(=O)=O,1.8114
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,2.2174
c1(Br)c(Br)cc(Br)cc1,3.9741
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,1.3511
C1SC(=S)NC1(=O),0.1343
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,4.6182
C1CCCCC1,2.3406
CN(C)C=Nc1ccc(Cl)cc1C,2.8698
CCCCCCCCO,2.3392
ClCCCl,1.464
ClCCBr,1.6201
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-5.3972
Clc1ccccc1,2.34
Brc1ccc(I)cc1,3.0537
CCCCCc1ccccc1,3.4193
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,3.1418
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,4.45
CCN2c1ccccc1N(C)C(=O)c3ccccc23,3.4346
CCCC1CCCC1,2.9767
Oc1ccc(Cl)c(Cl)c1,2.699
c2ccc1ocnc1c2,1.8278
CCN(CC)c1ccccc1,2.5328
ClCCC#N,1.1389
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,0.7004
c2ccc1[nH]nnc1c2,0.9579
Cc1cccc(C)c1O,2.009
c1ccccc1C(O)c2ccccc2,2.7683
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,3.1443
CCI,1.4413
CCCCCCBr,2.9616
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,5.5518
ON=Cc1ccc(o1)N(=O)=O,0.9959
Nc1nc[nH]n1,-0.6131
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.1609
OCc1ccccc1,1.1789
Oc1ccc(Br)cc1,2.1547
CC(C)CC(C)(C)C,3.0786
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,2.4086
Nc1cc(nc(N)n1=O)N2CCCCC2,-0.1303
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,5.6404
C1Cc2cccc3cccc1c23,2.9384
Brc1ccc(Br)cc1,3.2116
Oc1ccc(cc1)c2ccccc2,3.0592
CCOC=C,1.1664
COc1ncnc2nccnc12,0.4284
Clc1ccc(Cl)cc1,2.9934
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.0689
COc2ncc1nccnc1n2,0.4284
C1N(C(=O)NCC(C)C)C(=O)NC1,0.3772
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,3.6038
ClCC(Cl)(Cl)Cl,2.5954
CC1CCCCC1NC(=O)Nc2ccccc2,3.3868
O=Cc1ccco1,1.0921
O=Cc2ccc1OCOc1c2,1.2278
O=Cc1ccccc1,1.4991
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,4.0575
C1c2ccccc2c3ccccc13,3.2578
NC(=N)NS(=O)(=O)c1ccc(N)cc1,-0.5594
CC1CCCO1,1.1853
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-1.6424
CCNc1nc(NC(C)C)nc(SC)n1,1.8456
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.8384
OC(C(=O)c1ccccc1)c2ccccc2,2.6029
Clc1cccc(c1)N(=O)=O,2.2482
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,5.9672
CCNc1nc(NC(C)(C)C)nc(SC)n1,2.2357
Cc2ncc1nccnc1n2,0.7282
CCCCI,2.2215
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,2.2181
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,5.1608
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,6.6206
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,3.6096
COC(=O)c1ccccc1C(=O)OC,1.2598
CCSSCC,2.4076
Clc1cc(Cl)c(Cl)cc1Cl,4.3002
CCCCCC=C,2.7527
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,1.185
COc1cccc(Cl)c1,2.3486
CCCCOC=O,0.9595
BrC(Cl)Cl,2.1425
c1ccc(cc1)c2ccc(cc2)c3ccccc3,5.0206
CBr,1.0111
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,4.263
Nc1c(C)c[nH]c(=O)n1,-0.3395
c1c(NC(=O)c2ccccc2(I))cccc1,3.5435
Fc1ccccc1Br,2.5882
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,6.1133
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,2.3927
Cc1ccccc1N,1.5772
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,2.667
Oc1ccccn1,0.7872
